Firm,Type,Approx_AUM,USC_Connection,USC_Evidence_URL,Recruiting_Contact_Name,Recruiting_Contact_Title,Recruiting_USC_Evidence,Recruiting_Evidence_URL
PIMCO,Asset Manager,$2T+ AUM,Marshall top internship employer; Marshall PCA placement,https://www.marshall.usc.edu/finance-peer-career-advising-pca-program,Labhaoise Buckley,Global Head of Campus Recruiting & Talent Development,Marshall top internship employer; Newport Beach HQ near USC; Marshall PCA intern placement,https://www.marshall.usc.edu/finance-peer-career-advising-pca-program
TCW Asset Management,Asset Manager,$200B+,TFA LA placements; Marshall career fair participant,https://www.marshall.usc.edu/trojan-finance-academy,Joy Sun,"VP, Global Talent Acquisition Partner",Posted LinkedIn about recruiting at USC Marshall Career Fair Sep 2024,https://www.linkedin.com/posts/thejoysun_careerfair-usc-activity-7242592146862579713-1M9V
Lord Abbett,Asset Manager,$180B+,Marshall top full-time employer; hellofinance participant,https://uscmarshallweb.s3-us-west-2.amazonaws.com/assets/uploads/s1/files/rh_25-26_final_1_i3odhrt9uj.pdf,Verify via LinkedIn,Campus Recruiting / Early Talent (typical title),Firm documented as USC Marshall/TIS/TFA pipeline employer: Marshall top full-time employer; hellofinance participant,https://uscmarshallweb.s3-us-west-2.amazonaws.com/assets/uploads/s1/files/rh_25-26_final_1_i3odhrt9uj.pdf
PGIM Real Estate,Real Estate AM,$200B+,Marshall top internship employer,https://uscmarshallweb.s3-us-west-2.amazonaws.com/assets/uploads/s1/files/rh_25-26_final_1_i3odhrt9uj.pdf,Verify via LinkedIn,Campus Recruiting / Early Talent (typical title),Firm documented as USC Marshall/TIS/TFA pipeline employer: Marshall top internship employer,https://uscmarshallweb.s3-us-west-2.amazonaws.com/assets/uploads/s1/files/rh_25-26_final_1_i3odhrt9uj.pdf
Franklin Templeton,Asset Manager,$1.5T+,Marshall internship employer (older handbook),https://uscmarshallweb.s3-us-west-2.amazonaws.com/assets/uploads/s1/files/uscm_ugcs_rechand_sp_hklsy2xpeg.pdf,Verify via LinkedIn,Campus Recruiting / Early Talent (typical title),Firm documented as USC Marshall/TIS/TFA pipeline employer: Marshall internship employer (older handbook),https://uscmarshallweb.s3-us-west-2.amazonaws.com/assets/uploads/s1/files/uscm_ugcs_rechand_sp_hklsy2xpeg.pdf
Capital Group,Asset Manager,$2.8T+,Marshall internship/full-time employer,https://uscmarshallweb.s3-us-west-2.amazonaws.com/assets/uploads/s1/files/ay24-25_recruiter_hanbook_hsa7tecyk4.pdf,Verify via LinkedIn,Campus Recruiting / Early Talent (typical title),Firm documented as USC Marshall/TIS/TFA pipeline employer: Marshall internship/full-time employer,https://uscmarshallweb.s3-us-west-2.amazonaws.com/assets/uploads/s1/files/ay24-25_recruiter_hanbook_hsa7tecyk4.pdf
K1 Investment Management,Private Equity (Software),$24B,Marshall top internship employer; repeated USC Trojan Talks,https://uscmarshallweb.s3-us-west-2.amazonaws.com/assets/uploads/s1/files/rh_25-26_final_1_i3odhrt9uj.pdf,Hasan Askari,Managing Partner & Co-Founder (USC Marshall alum),USC Marshall BS; hosts Trojan Talks; >10% of firm are USC alumni,https://calendar.usc.edu/event/virtual_trojan_talk_with_k1_investment_management
Partners Group,Private Markets,$147B,USC Trojan Talk Financial Analyst Program 2026,https://calendar.usc.edu/event/trojan-talk-with-partners-group-financial-analyst-program,Campus Recruiting Team,Financial Analyst Program recruiting,USC Trojan Talk Mar 31 2026,https://calendar.usc.edu/event/trojan-talk-with-partners-group-financial-analyst-program
Ardian,Private Markets,$100B+,USC Virtual Trojan Talk,https://calendar.usc.edu/event/virtual_trojan_talk_with_ardian_intern_analyst,Zachary Levine,Senior Investment Manager (session lead),Virtual Trojan Talk to USC students on PE/FoF,https://calendar.usc.edu/event/virtual_trojan_talk_with_ardian_-_intro_to_basics_of_private_equity_fund_of_funds_and_secondaries
Makena Capital Management,Fund-of-Funds / OCIO,$19B,USC Trojan Talk + OCR,https://calendar.usc.edu/event/trojan_talk_with_makena_capital_management,Campus Recruiting / OCR team,On-campus recruiting coordinators,USC Trojan Talk + OCR interview schedule,https://calendar.usc.edu/event/trojan_talk_with_makena_capital_management
Matrix Capital Management,Hedge Fund,$12B,USC Trojan Talk,https://calendar.usc.edu/event/trojan_talk_with_matrix_capital,Firm leadership at session,Partners David Goel & Paul Ferri (USC Trojan Talk hosts),USC Trojan Talk for intern/FT analyst,https://calendar.usc.edu/event/trojan_talk_with_matrix_capital
Beach Point Capital Management,Credit / Alt Credit,$30B,Marshall Hub Qualtrics resume book Mar 2026,https://viterbicareers.usc.edu/quantitavtive-risk-analysist-opportunity/,Cam Pham / Lauren Irwin (USC Hub),Marshall Financial Services Career Hub staff coordinating drop,Mar 2026 Qualtrics resume-book via Hub — contact msbfinancecareerhub@marshall.usc.edu,https://viterbicareers.usc.edu/quantitavtive-risk-analysist-opportunity/
Blue Owl Capital,Alternative Asset Manager,$200B+,Marshall PCA student summer placement,https://www.marshall.usc.edu/finance-peer-career-advising-pca-program,Verify via LinkedIn,Campus Recruiting / Early Talent (typical title),Firm documented as USC Marshall/TIS/TFA pipeline employer: Marshall PCA student summer placement,https://www.marshall.usc.edu/finance-peer-career-advising-pca-program
Charlesbank Capital Partners,Private Equity,$30B+,TFA Boston; TIS Class of 2025 Boston placement,https://www.marshall.usc.edu/trojan-finance-academy,Verify via LinkedIn,Campus Recruiting / Early Talent (typical title),Firm documented as USC Marshall/TIS/TFA pipeline employer: TFA Boston; TIS Class of 2025 Boston placement,https://www.marshall.usc.edu/trojan-finance-academy
Heitman,Real Estate IM,$60B+,TFA Chicago trek employer,https://www.marshall.usc.edu/trojan-finance-academy,Verify via LinkedIn,Campus Recruiting / Early Talent (typical title),Firm documented as USC Marshall/TIS/TFA pipeline employer: TFA Chicago trek employer,https://www.marshall.usc.edu/trojan-finance-academy
Campbell Lutyens,Secondaries / PE Advisory,$30B+ advised,TFA NY trek employer,https://www.marshall.usc.edu/trojan-finance-academy,Verify via LinkedIn,Campus Recruiting / Early Talent (typical title),Firm documented as USC Marshall/TIS/TFA pipeline employer: TFA NY trek employer,https://www.marshall.usc.edu/trojan-finance-academy
Touchdown Ventures,Corporate VC,CVC platform,TFA LA placements; teaches at USC,https://www.marshall.usc.edu/trojan-finance-academy,Verify via LinkedIn,Campus Recruiting / Early Talent (typical title),Firm documented as USC Marshall/TIS/TFA pipeline employer: TFA LA placements; teaches at USC,https://www.marshall.usc.edu/trojan-finance-academy
Matter Venture Partners,Venture Capital,$750M+ committed,TFA SF/Menlo Park trek employer,https://www.marshall.usc.edu/trojan-finance-academy,Verify via LinkedIn,Campus Recruiting / Early Talent (typical title),Firm documented as USC Marshall/TIS/TFA pipeline employer: TFA SF/Menlo Park trek employer,https://www.marshall.usc.edu/trojan-finance-academy
Kleiner Perkins,Venture Capital,Multi-billion,USC Private Investing Day,https://www.marshall.usc.edu/posts/private-investing-event,USC alumni partners at event,Senior USC alumni executives (Private Investing Day),Marshall Private Investing Event — recruiting intent stated,https://www.marshall.usc.edu/posts/private-investing-event
Genstar Capital,Private Equity,$51B,USC Private Investing Day,https://www.marshall.usc.edu/posts/private-investing-event,USC alumni partners at event,Senior USC alumni executives (Private Investing Day),Marshall Private Investing Event,https://www.marshall.usc.edu/posts/private-investing-event
Permira,Private Equity,€80B / $90B,USC Private Investing Day,https://www.marshall.usc.edu/posts/private-investing-event,USC alumni partners at event,Senior USC alumni executives (Private Investing Day),Marshall Private Investing Event,https://www.marshall.usc.edu/posts/private-investing-event
Sageview Capital,Growth Equity,$2B+,USC Private Investing Day,https://www.marshall.usc.edu/posts/private-investing-event,Verify via LinkedIn,Campus Recruiting / Early Talent (typical title),Firm documented as USC Marshall/TIS/TFA pipeline employer: USC Private Investing Day,https://www.marshall.usc.edu/posts/private-investing-event
Questa Capital,Healthcare VC,~$1B,USC Private Investing Day,https://www.marshall.usc.edu/posts/private-investing-event,Verify via LinkedIn,Campus Recruiting / Early Talent (typical title),Firm documented as USC Marshall/TIS/TFA pipeline employer: USC Private Investing Day,https://www.marshall.usc.edu/posts/private-investing-event
Carrick Capital Partners,Growth / Software PE,~$2B,USC Private Investing Day,https://www.marshall.usc.edu/posts/private-investing-event,Verify via LinkedIn,Campus Recruiting / Early Talent (typical title),Firm documented as USC Marshall/TIS/TFA pipeline employer: USC Private Investing Day,https://www.marshall.usc.edu/posts/private-investing-event
Tru Arrow Partners,Growth PE,Multi-fund,USC Private Investing Day,https://www.marshall.usc.edu/posts/private-investing-event,Verify via LinkedIn,Campus Recruiting / Early Talent (typical title),Firm documented as USC Marshall/TIS/TFA pipeline employer: USC Private Investing Day,https://www.marshall.usc.edu/posts/private-investing-event
Sapphire Ventures,Venture Capital,$11B,USC Private Investing Day,https://www.marshall.usc.edu/posts/private-investing-event,USC alumni partners at event,Senior USC alumni executives (Private Investing Day),Marshall Private Investing Event,https://www.marshall.usc.edu/posts/private-investing-event
Salesforce Ventures,Corporate VC,Salesforce-backed,USC Private Investing Day,https://www.marshall.usc.edu/posts/private-investing-event,USC alumni partners at event,Senior USC alumni executives (Private Investing Day),Marshall Private Investing Event,https://www.marshall.usc.edu/posts/private-investing-event
Walton Street Capital,Real Estate PE,Multi-billion,USC Virtual Trojan Talk summer analyst program,https://calendar.usc.edu/event/virtual_trojan_tal_with_walton_street_capital,Verify via LinkedIn,Campus Recruiting / Early Talent (typical title),Firm documented as USC Marshall/TIS/TFA pipeline employer: USC Virtual Trojan Talk summer analyst program,https://calendar.usc.edu/event/virtual_trojan_tal_with_walton_street_capital
Northwood Investors,Real Estate PE,$7B+,USC Trojan Talk,https://calendar.usc.edu/event/northwood_investors_trojan_talk,Verify via LinkedIn,Campus Recruiting / Early Talent (typical title),Firm documented as USC Marshall/TIS/TFA pipeline employer: USC Trojan Talk,https://calendar.usc.edu/event/northwood_investors_trojan_talk
Prudential Private Capital,Private Credit,Prudential platform,USC Trojan Talk,https://calendar.usc.edu/event/trojan_talk_with_prudential_private_capital,Verify via LinkedIn,Campus Recruiting / Early Talent (typical title),Firm documented as USC Marshall/TIS/TFA pipeline employer: USC Trojan Talk,https://calendar.usc.edu/event/trojan_talk_with_prudential_private_capital
Prudential Financial,Insurance / AM,$1T+ group,Marshall top full-time employer,https://uscmarshallweb.s3-us-west-2.amazonaws.com/assets/uploads/s1/files/rh_25-26_final_1_i3odhrt9uj.pdf,Verify via LinkedIn,Campus Recruiting / Early Talent (typical title),Firm documented as USC Marshall/TIS/TFA pipeline employer: Marshall top full-time employer,https://uscmarshallweb.s3-us-west-2.amazonaws.com/assets/uploads/s1/files/rh_25-26_final_1_i3odhrt9uj.pdf
BNY Mellon,Asset Servicing / AM,$50T+ custodied,Marshall top full-time employer (BNY),https://uscmarshallweb.s3-us-west-2.amazonaws.com/assets/uploads/s1/files/rh_25-26_final_1_i3odhrt9uj.pdf,Verify via LinkedIn,Campus Recruiting / Early Talent (typical title),Firm documented as USC Marshall/TIS/TFA pipeline employer: Marshall top full-time employer (BNY),https://uscmarshallweb.s3-us-west-2.amazonaws.com/assets/uploads/s1/files/rh_25-26_final_1_i3odhrt9uj.pdf
Bloomberg,Financial Data / Terminal,Private $12B+ rev,Marshall top full-time employer,https://uscmarshallweb.s3-us-west-2.amazonaws.com/assets/uploads/s1/files/rh_25-26_final_1_i3odhrt9uj.pdf,Verify via LinkedIn,Campus Recruiting / Early Talent (typical title),Firm documented as USC Marshall/TIS/TFA pipeline employer: Marshall top full-time employer,https://uscmarshallweb.s3-us-west-2.amazonaws.com/assets/uploads/s1/files/rh_25-26_final_1_i3odhrt9uj.pdf
Affiliated Managers Group,Asset Management,$700B+,hellofinance 2024 USC virtual program participant,https://calendar.usc.edu/event/hellofinance-summer-2024-virtual-program-the-people-pathways-of-financial-services,Verify via LinkedIn,Campus Recruiting / Early Talent (typical title),Firm documented as USC Marshall/TIS/TFA pipeline employer: hellofinance 2024 USC virtual program participant,https://calendar.usc.edu/event/hellofinance-summer-2024-virtual-program-the-people-pathways-of-financial-services
MFS Investment Management,Asset Manager,$500B+,hellofinance 2024 USC participant,https://calendar.usc.edu/event/hellofinance-summer-2024-virtual-program-the-people-pathways-of-financial-services,Verify via LinkedIn,Campus Recruiting / Early Talent (typical title),Firm documented as USC Marshall/TIS/TFA pipeline employer: hellofinance 2024 USC participant,https://calendar.usc.edu/event/hellofinance-summer-2024-virtual-program-the-people-pathways-of-financial-services
Thornburg Investment Management,Asset Manager,$50B+,hellofinance 2024 USC participant,https://calendar.usc.edu/event/hellofinance-summer-2024-virtual-program-the-people-pathways-of-financial-services,Verify via LinkedIn,Campus Recruiting / Early Talent (typical title),Firm documented as USC Marshall/TIS/TFA pipeline employer: hellofinance 2024 USC participant,https://calendar.usc.edu/event/hellofinance-summer-2024-virtual-program-the-people-pathways-of-financial-services
FS Investments,Alternative AM,$30B+,hellofinance 2024 USC participant,https://calendar.usc.edu/event/hellofinance-summer-2024-virtual-program-the-people-pathways-of-financial-services,Verify via LinkedIn,Campus Recruiting / Early Talent (typical title),Firm documented as USC Marshall/TIS/TFA pipeline employer: hellofinance 2024 USC participant,https://calendar.usc.edu/event/hellofinance-summer-2024-virtual-program-the-people-pathways-of-financial-services
Natixis Investment Managers,Asset Manager,$1T+ platform,hellofinance 2024 USC participant,https://calendar.usc.edu/event/hellofinance-summer-2024-virtual-program-the-people-pathways-of-financial-services,Verify via LinkedIn,Campus Recruiting / Early Talent (typical title),Firm documented as USC Marshall/TIS/TFA pipeline employer: hellofinance 2024 USC participant,https://calendar.usc.edu/event/hellofinance-summer-2024-virtual-program-the-people-pathways-of-financial-services
Columbia Threadneedle Investments,Asset Manager,$600B+,hellofinance 2024 USC participant,https://calendar.usc.edu/event/hellofinance-summer-2024-virtual-program-the-people-pathways-of-financial-services,Verify via LinkedIn,Campus Recruiting / Early Talent (typical title),Firm documented as USC Marshall/TIS/TFA pipeline employer: hellofinance 2024 USC participant,https://calendar.usc.edu/event/hellofinance-summer-2024-virtual-program-the-people-pathways-of-financial-services
DWS Group,Asset Manager,$900B+,hellofinance 2024 USC participant,https://calendar.usc.edu/event/hellofinance-summer-2024-virtual-program-the-people-pathways-of-financial-services,Verify via LinkedIn,Campus Recruiting / Early Talent (typical title),Firm documented as USC Marshall/TIS/TFA pipeline employer: hellofinance 2024 USC participant,https://calendar.usc.edu/event/hellofinance-summer-2024-virtual-program-the-people-pathways-of-financial-services
John Hancock Investments,Asset Manager,Manulife platform,hellofinance 2024 USC participant,https://calendar.usc.edu/event/hellofinance-summer-2024-virtual-program-the-people-pathways-of-financial-services,Verify via LinkedIn,Campus Recruiting / Early Talent (typical title),Firm documented as USC Marshall/TIS/TFA pipeline employer: hellofinance 2024 USC participant,https://calendar.usc.edu/event/hellofinance-summer-2024-virtual-program-the-people-pathways-of-financial-services
First Eagle Investments,Asset Manager,$100B+,hellofinance 2024 USC participant,https://calendar.usc.edu/event/hellofinance-summer-2024-virtual-program-the-people-pathways-of-financial-services,Verify via LinkedIn,Campus Recruiting / Early Talent (typical title),Firm documented as USC Marshall/TIS/TFA pipeline employer: hellofinance 2024 USC participant,https://calendar.usc.edu/event/hellofinance-summer-2024-virtual-program-the-people-pathways-of-financial-services
Touchstone Investments,Asset Manager,$50B+,hellofinance 2024 USC participant,https://calendar.usc.edu/event/hellofinance-summer-2024-virtual-program-the-people-pathways-of-financial-services,Verify via LinkedIn,Campus Recruiting / Early Talent (typical title),Firm documented as USC Marshall/TIS/TFA pipeline employer: hellofinance 2024 USC participant,https://calendar.usc.edu/event/hellofinance-summer-2024-virtual-program-the-people-pathways-of-financial-services
Intrepid Financial Partners,Energy PE / Credit,$5B+,TFA LA/Houston placements,https://www.marshall.usc.edu/trojan-finance-academy,Verify via LinkedIn,Campus Recruiting / Early Talent (typical title),Firm documented as USC Marshall/TIS/TFA pipeline employer: TFA LA/Houston placements,https://www.marshall.usc.edu/trojan-finance-academy
Greif & Co.,Investment Bank / M&A advisory,Boutique,TFA LA placements,https://www.marshall.usc.edu/trojan-finance-academy,Verify via LinkedIn,Campus Recruiting / Early Talent (typical title),Firm documented as USC Marshall/TIS/TFA pipeline employer: TFA LA placements,https://www.marshall.usc.edu/trojan-finance-academy
LionTree,Tech-focused advisory/merchant bank,$1B+ deals platform,TFA NY/SF placements; TIS placements,https://trojaninvestingsociety.com/historical-placements,Verify via LinkedIn,Campus Recruiting / Early Talent (typical title),Firm documented as USC Marshall/TIS/TFA pipeline employer: TFA NY/SF placements; TIS placements,https://trojaninvestingsociety.com/historical-placements
The Raine Group,Merchant bank / media PE,Multi-billion,TFA NY; TIS Class of 2025,https://trojaninvestingsociety.com/historical-placements,Verify via LinkedIn,Campus Recruiting / Early Talent (typical title),Firm documented as USC Marshall/TIS/TFA pipeline employer: TFA NY; TIS Class of 2025,https://trojaninvestingsociety.com/historical-placements
Solomon Partners,Healthcare IB/advisory,Major boutique,TFA NY; TIS placements,https://trojaninvestingsociety.com/historical-placements,Verify via LinkedIn,Campus Recruiting / Early Talent (typical title),Firm documented as USC Marshall/TIS/TFA pipeline employer: TFA NY; TIS placements,https://trojaninvestingsociety.com/historical-placements
Stifel,Investment Bank / Wealth,$100B+ client assets,TFA NY; TIS placements,https://www.marshall.usc.edu/trojan-finance-academy,Verify via LinkedIn,Campus Recruiting / Early Talent (typical title),Firm documented as USC Marshall/TIS/TFA pipeline employer: TFA NY; TIS placements,https://www.marshall.usc.edu/trojan-finance-academy
William Blair,Investment Bank / AM,Major,TFA SF/Chicago; TIS placements,https://www.marshall.usc.edu/trojan-finance-academy,Verify via LinkedIn,Campus Recruiting / Early Talent (typical title),Firm documented as USC Marshall/TIS/TFA pipeline employer: TFA SF/Chicago; TIS placements,https://www.marshall.usc.edu/trojan-finance-academy
Brown Brothers Harriman,Private Bank / Custody,$100B+ custodied,TFA NY; TIS Class of 2028,https://trojaninvestingsociety.com/historical-placements,Verify via LinkedIn,Campus Recruiting / Early Talent (typical title),Firm documented as USC Marshall/TIS/TFA pipeline employer: TFA NY; TIS Class of 2028,https://trojaninvestingsociety.com/historical-placements
Livingstone Partners,M&A advisory,Global mid-market,TFA Chicago trek,https://www.marshall.usc.edu/trojan-finance-academy,Verify via LinkedIn,Campus Recruiting / Early Talent (typical title),Firm documented as USC Marshall/TIS/TFA pipeline employer: TFA Chicago trek,https://www.marshall.usc.edu/trojan-finance-academy
Kroll,Valuation / Advisory,$1B+ rev platform,TFA NY/Boston placements,https://www.marshall.usc.edu/trojan-finance-academy,Verify via LinkedIn,Campus Recruiting / Early Talent (typical title),Firm documented as USC Marshall/TIS/TFA pipeline employer: TFA NY/Boston placements,https://www.marshall.usc.edu/trojan-finance-academy
Macquarie,Alt AM / IB,$500B+,TFA LA/SF/NY; TIS placements,https://www.marshall.usc.edu/trojan-finance-academy,Verify via LinkedIn,Campus Recruiting / Early Talent (typical title),Firm documented as USC Marshall/TIS/TFA pipeline employer: TFA LA/SF/NY; TIS placements,https://www.marshall.usc.edu/trojan-finance-academy
BNP Paribas,Bank / AM,€2T+ balance sheet,TFA NY placements,https://www.marshall.usc.edu/trojan-finance-academy,Verify via LinkedIn,Campus Recruiting / Early Talent (typical title),Firm documented as USC Marshall/TIS/TFA pipeline employer: TFA NY placements,https://www.marshall.usc.edu/trojan-finance-academy
Scotiabank,Bank / Global Markets,Major,TFA NY placements,https://www.marshall.usc.edu/trojan-finance-academy,Verify via LinkedIn,Campus Recruiting / Early Talent (typical title),Firm documented as USC Marshall/TIS/TFA pipeline employer: TFA NY placements,https://www.marshall.usc.edu/trojan-finance-academy
TD Securities,Investment Bank,Major,TFA NY; Marshall internship employer,https://www.marshall.usc.edu/trojan-finance-academy,Verify via LinkedIn,Campus Recruiting / Early Talent (typical title),Firm documented as USC Marshall/TIS/TFA pipeline employer: TFA NY; Marshall internship employer,https://www.marshall.usc.edu/trojan-finance-academy
Cowen / TD Cowen,Investment Bank / Research,Major,TFA NY; TIS Class of 2025 TD Cowen,https://trojaninvestingsociety.com/historical-placements,Verify via LinkedIn,Campus Recruiting / Early Talent (typical title),Firm documented as USC Marshall/TIS/TFA pipeline employer: TFA NY; TIS Class of 2025 TD Cowen,https://trojaninvestingsociety.com/historical-placements
Stout,Valuation / Advisory,Major,TFA NY placements,https://www.marshall.usc.edu/trojan-finance-academy,Verify via LinkedIn,Campus Recruiting / Early Talent (typical title),Firm documented as USC Marshall/TIS/TFA pipeline employer: TFA NY placements,https://www.marshall.usc.edu/trojan-finance-academy
Greenhill & Co.,M&A Advisory,Major boutique,TFA NY placements,https://www.marshall.usc.edu/trojan-finance-academy,Verify via LinkedIn,Campus Recruiting / Early Talent (typical title),Firm documented as USC Marshall/TIS/TFA pipeline employer: TFA NY placements,https://www.marshall.usc.edu/trojan-finance-academy
Guggenheim Partners,IB / AM,$300B+ AM,TFA NY/Chicago placements,https://www.marshall.usc.edu/trojan-finance-academy,Verify via LinkedIn,Campus Recruiting / Early Talent (typical title),Firm documented as USC Marshall/TIS/TFA pipeline employer: TFA NY/Chicago placements,https://www.marshall.usc.edu/trojan-finance-academy
Houlihan Lokey,Financial Advisory,Major,TFA all regions; Marshall top employer,https://www.marshall.usc.edu/trojan-finance-academy,Verify via LinkedIn,Campus Recruiting / Early Talent (typical title),Firm documented as USC Marshall/TIS/TFA pipeline employer: TFA all regions; Marshall top employer,https://www.marshall.usc.edu/trojan-finance-academy
Lazard,Financial Advisory,Major,TFA LA/NY/SF; Marshall top employer,https://www.marshall.usc.edu/trojan-finance-academy,Verify via LinkedIn,Campus Recruiting / Early Talent (typical title),Firm documented as USC Marshall/TIS/TFA pipeline employer: TFA LA/NY/SF; Marshall top employer,https://www.marshall.usc.edu/trojan-finance-academy
Moelis & Company,Investment Bank,Major,TFA all regions; TIS placements,https://trojaninvestingsociety.com/historical-placements,Verify via LinkedIn,Campus Recruiting / Early Talent (typical title),Firm documented as USC Marshall/TIS/TFA pipeline employer: TFA all regions; TIS placements,https://trojaninvestingsociety.com/historical-placements
Evercore,Investment Bank,Major,TFA SF/Houston/NY; TIS placements,https://trojaninvestingsociety.com/historical-placements,Verify via LinkedIn,Campus Recruiting / Early Talent (typical title),Firm documented as USC Marshall/TIS/TFA pipeline employer: TFA SF/Houston/NY; TIS placements,https://trojaninvestingsociety.com/historical-placements
Centerview Partners,M&A Advisory,Elite boutique,TFA SF/NY; TIS placements,https://trojaninvestingsociety.com/historical-placements,Verify via LinkedIn,Campus Recruiting / Early Talent (typical title),Firm documented as USC Marshall/TIS/TFA pipeline employer: TFA SF/NY; TIS placements,https://trojaninvestingsociety.com/historical-placements
PJT Partners,Advisory / Restructuring,Major,TFA SF/NY; TIS placements,https://trojaninvestingsociety.com/historical-placements,Verify via LinkedIn,Campus Recruiting / Early Talent (typical title),Firm documented as USC Marshall/TIS/TFA pipeline employer: TFA SF/NY; TIS placements,https://trojaninvestingsociety.com/historical-placements
Perella Weinberg Partners,M&A Advisory,Major,TFA all regions; TIS placements,https://trojaninvestingsociety.com/historical-placements,Verify via LinkedIn,Campus Recruiting / Early Talent (typical title),Firm documented as USC Marshall/TIS/TFA pipeline employer: TFA all regions; TIS placements,https://trojaninvestingsociety.com/historical-placements
Rothschild & Co.,Financial Advisory,Major,TFA LA/NY/SF; TIS placements,https://trojaninvestingsociety.com/historical-placements,Verify via LinkedIn,Campus Recruiting / Early Talent (typical title),Firm documented as USC Marshall/TIS/TFA pipeline employer: TFA LA/NY/SF; TIS placements,https://trojaninvestingsociety.com/historical-placements
Jefferies,Investment Bank,Major,TFA SF/NY; Marshall top employer,https://www.marshall.usc.edu/trojan-finance-academy,Verify via LinkedIn,Campus Recruiting / Early Talent (typical title),Firm documented as USC Marshall/TIS/TFA pipeline employer: TFA SF/NY; Marshall top employer,https://www.marshall.usc.edu/trojan-finance-academy
Piper Sandler,Investment Bank,Major,TFA SF/NY/Houston; TIS placements,https://trojaninvestingsociety.com/historical-placements,Verify via LinkedIn,Campus Recruiting / Early Talent (typical title),Firm documented as USC Marshall/TIS/TFA pipeline employer: TFA SF/NY/Houston; TIS placements,https://trojaninvestingsociety.com/historical-placements
